Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DNN,297,1950.0,Floyd Volker,F-C,28.0,37.0,,,,0.34,,0.23399999999999999,,,,,,,,,,-1.4,-0.5,-1.9,,,,,,,146.0,474.0,0.308,,,,146.0,474.0,0.308,0.308,64.0,111.0,0.5770000000000001,,,,105.0,,,,137.0,356.0
INO,296,1950.0,Floyd Volker,F-C,28.0,17.0,,,,0.337,,0.34,,,,,,,,,,-0.2,0.1,-0.1,,,,,,,17.0,53.0,0.321,,,,17.0,53.0,0.321,0.321,7.0,18.0,0.389,,,,7.0,,,,32.0,41.0
TOT,295,1950.0,Floyd Volker,F-C,28.0,54.0,,,,0.34,,0.245,,,,,,,,,,-1.6,-0.4,-2.0,,,,,,,163.0,527.0,0.309,,,,163.0,527.0,0.309,0.309,71.0,129.0,0.55,,,,112.0,,,,169.0,397.0
