Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
CLE,5462,1979.0,Harry Davis,SF,23.0,40.0,,394.0,10.6,0.47100000000000003,,0.281,7.1,11.5,9.2,5.5,1.5,1.1,11.8,19.7,,0.1,0.2,0.3,0.038,,-2.7,-2.2,-4.8,-0.3,66.0,153.0,0.431,,,,66.0,153.0,0.431,0.431,30.0,43.0,0.698,27.0,39.0,66.0,16.0,13.0,8.0,23.0,66.0,162.0
SAS,5811,1980.0,Harry Davis,SF,24.0,4.0,,30.0,5.8,0.505,0.0,0.16699999999999998,7.3,14.0,10.7,0.0,1.5,0.0,18.9,20.0,,0.0,0.0,0.0,-0.03,,-6.2,-5.8,-12.0,-0.1,6.0,12.0,0.5,0.0,0.0,,6.0,12.0,0.5,0.5,1.0,2.0,0.5,2.0,4.0,6.0,0.0,1.0,0.0,3.0,8.0,13.0
