Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
AND,115,1950.0,Ralph Johnson,PG,28.0,35.0,,,,0.364,,0.195,,,,,,,,,,-0.4,2.8,2.4,,,,,,,133.0,426.0,0.312,,,,133.0,426.0,0.312,0.312,71.0,83.0,0.855,,,,104.0,,,,112.0,337.0
FTW,678,1953.0,Ralph Johnson,PG,31.0,68.0,,2265.0,8.8,0.4,,0.33299999999999996,,,,,,,,,,0.0,2.5,1.6,0.034,,,,,,235.0,737.0,0.35600000000000004,,,,235.0,737.0,0.35600000000000004,0.35600000000000004,114.0,162.0,0.721,,,275.0,210.0,,,,247.0,584.0
TOT,114,1950.0,Ralph Johnson,PG,28.0,67.0,,,,0.353,,0.166,,,,,,,,,,-1.5,4.5,2.9,,,,,,,243.0,779.0,0.312,,,,243.0,779.0,0.312,0.312,104.0,129.0,0.8059999999999999,,,,171.0,,,,207.0,590.0
