Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
CHO,24403,2017.0,Jeremy Lamb,SG,24.0,66.0,5.0,1227.0,17.0,0.55,0.355,0.263,3.9,22.7,12.7,11.3,1.7,2.0,8.4,23.2,,1.4,1.8,2.7,0.115,,-0.6,0.1,-0.5,0.4,230.0,510.0,0.46,56.0,181.0,0.309,185.0,345.0,0.536,0.506,110.0,129.0,0.853,44.0,234.0,264.0,77.0,42.0,30.0,50.0,105.0,603.0
OKC,23199,2015.0,Jeremy Lamb,SG,22.0,78.0,8.0,1538.0,14.9,0.5379999999999999,0.444,0.22,4.2,16.5,9.1,11.8,1.8,1.4,9.0,24.8,,1.4,1.8,3.3,0.12300000000000001,,0.0,-0.9,-1.2,0.3,263.0,609.0,0.43200000000000005,88.0,247.0,0.35600000000000004,175.0,362.0,0.483,0.504,51.0,64.0,1.0,27.0,162.0,189.0,115.0,56.0,26.0,61.0,143.0,665.0
