Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
IND,19725,2009.0,Rasho Nesterovic,C,32.0,70.0,19.0,1214.0,14.1,0.524,0.002,0.073,8.4,13.5,10.9,14.3,1.2,2.3,12.3,18.5,,1.1,1.1,2.2,0.086,,-1.1,0.4,-0.8,0.4,224.0,437.0,0.513,0.0,1.0,0.0,224.0,436.0,0.514,0.513,25.0,32.0,0.7809999999999999,93.0,147.0,240.0,109.0,30.0,38.0,63.0,171.0,473.0
MIN,16319,2003.0,Rasho Nesterovic,C,26.0,82.0,82.0,2337.0,14.7,0.536,0.005,0.23800000000000002,10.6,20.2,14.9,7.8,1.1,3.7,13.7,20.3,,2.6,2.6,5.2,0.107,,-0.6,1.3,0.6,1.6,400.0,762.0,0.525,0.0,2.0,0.0,400.0,760.0,0.526,0.525,61.0,103.0,1.0,200.0,358.0,534.0,114.0,45.0,116.0,99.0,262.0,861.0
SAS,18022,2006.0,Rasho Nesterovic,C,29.0,82.0,82.0,2353.0,15.3,0.521,0.006,0.163,12.4,18.0,15.0,8.4,1.2,5.1,14.1,16.8,,1.6,5.6,7.2,0.147,,-1.6,4.5,2.9,2.9,328.0,700.0,0.515,0.0,2.0,0.0,328.0,700.0,0.518,0.515,54.0,114.0,0.6,257.0,376.0,633.0,114.0,51.0,165.0,107.0,247.0,710.0
TOR,20325,2010.0,Rasho Nesterovic,C,33.0,80.0,73.0,1676.0,16.1,0.565,0.006,0.11900000000000001,10.9,17.4,13.6,9.9,1.2,3.9,11.2,18.5,,2.3,2.2,4.1,0.125,,0.0,2.6,1.2,1.4,257.0,467.0,0.55,1.0,3.0,0.33299999999999996,256.0,464.0,0.552,0.551,37.0,50.0,0.755,130.0,245.0,360.0,82.0,37.0,84.0,60.0,193.0,552.0
