Tm,Unnamed: 0,Year,Player,Pos,Age,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
GSW,5983,1980.0,Robert Parish*,C,26.0,82.0,,2411.0,20.8,0.541,0.001,0.298,14.6,29.2,20.4,8.9,1.9,4.9,16.6,26.4,,2.5,5.4,7.1,0.16699999999999998,,0.9,2.9,2.0,2.5,554.0,1110.0,0.507,0.0,1.0,0.0,554.0,1110.0,0.507,0.507,203.0,284.0,0.715,265.0,651.0,916.0,122.0,100.0,217.0,233.0,303.0,1304.0
BOS,11698,1994.0,Robert Parish*,C,40.0,82.0,81.0,2995.0,25.2,0.637,0.001,0.391,14.0,26.1,20.1,10.0,1.7,5.1,15.2,27.1,,6.9,5.1,10.9,0.228,,3.0,2.3,5.0,4.5,669.0,1235.0,0.598,0.0,1.0,0.0,669.0,1235.0,0.599,0.598,294.0,409.0,0.772,342.0,654.0,996.0,175.0,81.0,214.0,221.0,310.0,1590.0
CHH,12644,1996.0,Robert Parish*,C,42.0,81.0,34.0,1352.0,13.0,0.5329999999999999,0.0,0.295,9.7,24.4,16.9,5.0,1.1,3.7,15.5,16.5,,0.7,2.0,1.7,0.07400000000000001,,-3.5,0.6,-2.9,-0.2,159.0,372.0,0.498,0.0,0.0,,159.0,372.0,0.498,0.498,71.0,101.0,0.7040000000000001,93.0,257.0,350.0,44.0,27.0,54.0,66.0,132.0,389.0
CHI,13232,1997.0,Robert Parish*,C,43.0,43.0,3.0,406.0,14.3,0.514,0.0,0.217,11.9,12.9,12.4,8.2,0.8,3.5,15.2,20.3,,0.3,0.6,0.9,0.10099999999999999,,-2.5,0.2,-2.3,0.0,70.0,143.0,0.49,0.0,0.0,,70.0,143.0,0.49,0.49,21.0,31.0,0.677,42.0,47.0,89.0,22.0,6.0,19.0,28.0,40.0,161.0
